question,answer,focus_area
"What is (are) Diabetes, Heart Disease, and Stroke ?","Metabolic syndrome is a grouping of traits and medical conditions that puts people at risk for both heart disease and type 2 diabetes. It is defined by the National Cholesterol Education Program as having any three of the following five traits and medical conditions:

Traits and Medical Conditions Definition Elevated waist circumference Waist measurement of - 40 inches or more in men - 35 inches or more in women Elevated levels of triglycerides - 150 mg/dL or higher or Taking medication for elevated triglyceride levels Low levels of HDL (good) cholesterol - Below 40 mg/dL in men - Below 50 mg/dL in women or Taking medication for low HDL cholesterol levels Elevated blood pressure levels - 130 mm Hg or higher for systolic blood pressure or - 85 mm Hg or higher for diastolic blood pressure or Taking medication for elevated blood pressure levels Elevated fasting blood glucose levels - 100 mg/dL or higher or Taking medication for elevated blood glucose levels","Diabetes, Heart Disease, and Stroke"
"How to prevent Diabetes, Heart Disease, and Stroke ?","Even if you are at high risk for heart disease and stroke, you can help keep your heart and blood vessels healthy. You can do so by taking the following steps:

- Make sure that your diet is ""heart-healthy."" Meet with a registered dietitian to plan a diet that meets these goals: - Include at least 14 grams of fiber daily for every 1,000 calories consumed. Foods high in fiber may help lower blood cholesterol. Oat bran, oatmeal, whole-grain breads and cereals, dried beans and peas (such as kidney beans, pinto beans, and black-eyed peas), fruits, and vegetables are all good sources of fiber. Increase the amount of fiber in your diet gradually to avoid digestive problems. - Cut down on saturated fat. It raises your blood cholesterol level. Saturated fat is found in meats, poultry skin, butter, dairy products with fat, shortening, lard, and tropical oils such as palm and coconut oil. Your dietitian can figure out how many grams of saturated fat should be your daily maximum amount. - Keep the cholesterol in your diet to less than 300 milligrams a day. Cholesterol is found in meat, dairy products, and eggs. - Keep the amount of trans fat in your diet to a minimum. It's a type of fat in foods that raises blood cholesterol. Limit your intake of crackers, cookies, snack foods, commercially prepared baked goods, cake mixes, microwave popcorn, fried foods, salad dressings, and other foods made with partially hydrogenated oil. In addition, some kinds of vegetable shortening and margarines have trans fat. Check for trans fat in the Nutrition Facts section on the food package. - If you smoke, quit. Your doctor can help you find ways to quit smoking. - Ask your doctor whether you should take aspirin. Studies have shown that taking a low dose of aspirin every day can help reduce the risk of heart disease and stroke. However, aspirin is not safe for everyone. Your doctor can tell you whether taking aspirin is right for you and exactly how much to take. - Get prompt treatment for transient ischemic attacks (TIAs). Early treatment for TIAs, sometimes called mini-strokes, may help prevent or delay a future stroke. Signs of a TIA are sudden weakness, loss of balance, numbness, confusion, blindness in one or both eyes, double vision, difficulty speaking, or a severe headache.","Diabetes, Heart Disease, and Stroke"
"What are the treatments for Diabetes, Heart Disease, and Stroke ?","You can keep track of the ABCs of diabetes to make sure your treatment is working. Talk with your health care provider about the best targets for you.

A stands for A1C (a test that measures blood glucose control). Have an A1C test at least twice a year. It shows your average blood glucose level over the past 3 months. Talk with your doctor about whether you should check your blood glucose at home and how to do it.

A1C target Below 7 percent, unless your doctor sets a different target



Blood glucose targets Before meals 90 to 130 mg/dL 1 to 2 hours after the start of a meal Less than 180 mg/dL

B is for blood pressure. Have it checked at every office visit.

Blood pressure target Below 140/80 mm Hg, unless your doctor sets a different target

C is for cholesterol. Have it checked at least once a year.

Blood fat (cholesterol) targets LDL (bad) cholesterol Under 100 mg/dL Triglycerides Under 150 mg/dL HDL (good) cholesterol For men: above 40 mg/dL For women: above 50 mg/dL

Control of the ABCs of diabetes can reduce your risk for heart disease and stroke. If your blood glucose, blood pressure, and cholesterol levels aren't on target, ask your doctor what changes in diet, activity, and medications can help you reach these goals.","Diabetes, Heart Disease, and Stroke"
"What is (are) Diabetes, Heart Disease, and Stroke ?","Two major types of heart and blood vessel disease, also called cardiovascular disease, are common in people with diabetes: coronary artery disease (CAD) and cerebral vascular disease. People with diabetes are also at risk for heart failure. Narrowing or blockage of the blood vessels in the legs, a condition called peripheral arterial disease, can also occur in people with diabetes.

Coronary Artery Disease

Coronary artery disease, also called ischemic heart disease, is caused by a hardening or thickening of the walls of the blood vessels that go to your heart. Your blood supplies oxygen and other materials your heart needs for normal functioning. If the blood vessels to your heart become narrowed or blocked by fatty deposits, the blood supply is reduced or cut off, resulting in a heart attack.

Cerebral Vascular Disease

Cerebral vascular disease affects blood flow to the brain, leading to strokes and TIAs. It is caused by narrowing, blocking, or hardening of the blood vessels that go to the brain or by high blood pressure.

Stroke

A stroke results when the blood supply to the brain is suddenly cut off, which can occur when a blood vessel in the brain or neck is blocked or bursts. Brain cells are then deprived of oxygen and die. A stroke can result in problems with speech or vision or can cause weakness or paralysis. Most strokes are caused by fatty deposits or blood clotsjelly-like clumps of blood cellsthat narrow or block one of the blood vessels in the brain or neck. A blood clot may stay where it formed or can travel within the body. People with diabetes are at increased risk for strokes caused by blood clots.

A stroke may also be caused by a bleeding blood vessel in the brain. Called an aneurysm, a break in a blood vessel can occur as a result of high blood pressure or a weak spot in a blood vessel wall.

TIAs

TIAs are caused by a temporary blockage of a blood vessel to the brain. This blockage leads to a brief, sudden change in brain function, such as temporary numbness or weakness on one side of the body. Sudden changes in brain function also can lead to loss of balance, confusion, blindness in one or both eyes, double vision, difficulty speaking, or a severe headache. However, most symptoms disappear quickly and permanent damage is unlikely. If symptoms do not resolve in a few minutes, rather than a TIA, the event could be a stroke. The occurrence of a TIA means that a person is at risk for a stroke sometime in the future. See page 3 for more information on risk factors for stroke.

Heart Failure

Heart failure is a chronic condition in which the heart cannot pump blood properlyit does not mean that the heart suddenly stops working. Heart failure develops over a period of years, and symptoms can get worse over time. People with diabetes have at least twice the risk of heart failure as other people. One type of heart failure is congestive heart failure, in which fluid builds up inside body tissues. If the buildup is in the lungs, breathing becomes difficult.

Blockage of the blood vessels and high blood glucose levels also can damage heart muscle and cause irregular heart beats. People with damage to heart muscle, a condition called cardiomyopathy, may have no symptoms in the early stages, but later they may experience weakness, shortness of breath, a severe cough, fatigue, and swelling of the legs and feet. Diabetes can also interfere with pain signals normally carried by the nerves, explaining why a person with diabetes may not experience the typical warning signs of a heart attack.

Peripheral Arterial Disease

Another condition related to heart disease and common in people with diabetes is peripheral arterial disease (PAD). With this condition, the blood vessels in the legs are narrowed or blocked by fatty deposits, decreasing blood flow to the legs and feet. PAD increases the chances of a heart attack or stroke occurring. Poor circulation in the legs and feet also raises the risk of amputation. Sometimes people with PAD develop pain in the calf or other parts of the leg when walking, which is relieved by resting for a few minutes.","Diabetes, Heart Disease, and Stroke"
"What are the treatments for Diabetes, Heart Disease, and Stroke ?","Treatment for heart disease includes meal planning to ensure a heart-healthy diet and physical activity. In addition, you may need medications to treat heart damage or to lower your blood glucose, blood pressure, and cholesterol. If you are not already taking a low dose of aspirin every day, your doctor may suggest it. You also may need surgery or some other medical procedure.

For additional information about heart and blood vessel disease, high blood pressure, and high cholesterol, call the National Heart, Lung, and Blood Institute Health Information Center at 3015928573 or see www.nhlbi.nih.gov on the Internet.","Diabetes, Heart Disease, and Stroke"
"What are the treatments for Diabetes, Heart Disease, and Stroke ?","At the first sign of a stroke, you should get medical care right away. If blood vessels to your brain are blocked by blood clots, the doctor can give you a ""clot-busting"" drug. The drug must be given soon after a stroke to be effective. Subsequent treatment for stroke includes medications and physical therapy, as well as surgery to repair the damage. Meal planning and physical activity may be part of your ongoing care. In addition, you may need medications to lower your blood glucose, blood pressure, and cholesterol and to prevent blood clots.

For additional information about strokes, call the National Institute of Neurological Disorders and Stroke at 18003529424 or see www.ninds.nih.gov on the Internet.","Diabetes, Heart Disease, and Stroke"
"What to do for Diabetes, Heart Disease, and Stroke ?","- If you have diabetes, you are at least twice as likely as other people to have heart disease or a stroke. - Controlling the ABCs of diabetesA1C (blood glucose), blood pressure, and cholesterol-can cut your risk of heart disease and stroke. - Choosing foods wisely, quitting smoking, and taking medications (if needed) can all help lower your risk of heart disease and stroke. - If you have any warning signs of a heart attack or a stroke, get medical care immediatelydon't delay. Early treatment of heart attack and stroke in a hospital emergency room can reduce damage to the heart and the brain.","Diabetes, Heart Disease, and Stroke"
"What to do for Diabetes, Heart Disease, and Stroke ?","- If you have diabetes, you are at least twice as likely as other people to have heart disease or a stroke. - Controlling the ABCs of diabetesA1C (blood glucose), blood pressure, and cholesterol-can cut your risk of heart disease and stroke. - Choosing foods wisely, quitting smoking, and taking medications (if needed) can all help lower your risk of heart disease and stroke. - If you have any warning signs of a heart attack or a stroke, get medical care immediatelydon't delay. Early treatment of heart attack and stroke in a hospital emergency room can reduce damage to the heart and the brain.","Diabetes, Heart Disease, and Stroke"
What is (are) What I need to know about Preparing for Pregnancy if I Have Diabetes ?,"If you have diabetes,* the best time to control your blood glucose, also called blood sugar, is before you get pregnant. High blood glucose levels can be harmful to your baby during the first weeks of pregnancyeven before you know you are pregnant. Blood glucose targets are different for women who are trying to get pregnant. Targets are numbers you aim for.

Pregnancy and new motherhood are times of great excitement and change for any woman. If you have type 1 or type 2 diabetes and are hoping to get pregnant soon, you can learn what to do to have a healthy baby. You can also learn how to take care of yourself and your diabetes before, during, and after your pregnancy. If you have diabetes and are already pregnant, don't panic! Just make sure you are doing everything you can to take care of yourself and your diabetes during your pregnancy.

For Women with Gestational Diabetes More information about gestational diabetes, a type of diabetes that develops only during pregnancy, is provided in the NIDDK health topic, What I need to know about Gestational Diabetes.

*See Pronunciation Guide for tips on how to say the words in bold type.

If you have diabetes, your pregnancy is considered high risk, which means you have an increased risk of problems during your pregnancy. You need to pay special attention to your health, and you may need to see doctors who specialize in treating diabetes or its complications. Millions of high-risk pregnancies, such as those in which women are older than 35 or carrying two or more babies, produce perfectly healthy babies without affecting the mother's health.",What I need to know about Preparing for Pregnancy if I Have Diabetes
What to do for What I need to know about Preparing for Pregnancy if I Have Diabetes ?,"- If you have diabetes, the best time to control your blood glucose, also called blood sugar, is before you get pregnant. High blood glucose levels can be harmful to your baby during the first weeks of pregnancyeven before you know you are pregnant. - Keeping your blood glucose as close to normal as possible before and during your pregnancy is the most important thing you can do to stay healthy and have a healthy baby. - Before you get pregnant, you can plan and prepare for having a healthy pregnancy and a healthy baby. If you have diabetes and are already pregnant, you can make sure you are doing everything you can to take care of yourself and your diabetes during your pregnancy. - Regular visits with members of a health care team who are experts in diabetes and pregnancy will ensure you get the best care. Your health care team can help you learn how to use a healthy eating plan, physical activity, and medicines to reach your blood glucose targets before and during pregnancy. - During pregnancy, the safest diabetes medicine is insulin. Your health care team will work with you to make a personalized insulin routine. Some medicines are not safe during pregnancy and should be stopped before you get pregnant. Your doctor can tell you which medicines to stop taking. - You will have tests throughout your pregnancy to check your baby's health. - You can give your baby a healthy start by breastfeeding.",What I need to know about Preparing for Pregnancy if I Have Diabetes
What is (are) Am I at Risk for Type 2 Diabetes? Taking Steps to Lower Your Risk of Getting Diabetes ?,"Type 2 diabetes, formerly called adult-onset diabetes, is the most common type of diabetes. About 95 percent of people with diabetes have type 2. People can develop type 2 diabetes at any age, even during childhood. However, this type of diabetes develops most often in middle-aged and older people. People who are overweight and inactive are also more likely to develop type 2 diabetes.

In type 2 and other types of diabetes, you have too much glucose, also called sugar, in your blood. People with diabetes have problems converting food to energy. After a meal, food is broken down into glucose, which is carried by your blood to cells throughout your body. With the help of the hormone insulin, cells absorb glucose from your blood and use it for energy. Insulin is made in the pancreas, an organ located behind the stomach.

Type 2 diabetes usually begins with insulin resistance, a condition linked to excess weight in which your bodys cells do not use insulin properly. As a result, your body needs more insulin to help glucose enter cells. At first, your pancreas keeps up with the added demand by producing more insulin. But in time, your pancreas loses its ability to produce enough insulin, and blood glucose levels rise.

Over time, high blood glucose damages nerves and blood vessels, leading to problems such as heart disease, stroke, kidney disease, blindness, dental disease, and amputations. Other problems of diabetes may include increased risk of getting other diseases, loss of mobility with aging, depression, and pregnancy problems.

Treatment includes taking diabetes medicines, making wise food choices, being physically active on a regular basis, controlling blood pressure and cholesterol, and for some, taking aspirin daily.",Am I at Risk for Type 2 Diabetes? Taking Steps to Lower Your Risk of Getting Diabetes
How to prevent Am I at Risk for Type 2 Diabetes? Taking Steps to Lower Your Risk of Getting Diabetes ?,"Yes. The results of the Diabetes Prevention Program (DPP) proved that weight loss through moderate diet changes and physical activity can delay or prevent type 2 diabetes. The DPP was a federally funded study of 3,234 people at high risk for diabetes. This study showed that a 5-to 7-percent weight loss, which for a 200-pound person would be 10 to 14 pounds, slowed development of type 2 diabetes.

People at High Risk for Diabetes

DPP study participants were overweight and had higher than normal levels of blood glucose, a condition called prediabetes. Many had family members with type 2 diabetes. Prediabetes, obesity, and a family history of diabetes are strong risk factors for type 2 diabetes. About half of the DPP participants were from minority groups with high rates of diabetes, including African Americans, Alaska Natives, American Indians, Asian Americans, Hispanics/Latinos, and Pacific Islander Americans.

DPP participants also included others at high risk for developing type 2 diabetes, such as women with a history of gestational diabetes and people age 60 and older.

Approaches to Preventing Diabetes

The DPP tested three approaches to preventing diabetes:

- Making lifestyle changes. People in the lifestyle change group exercised, usually by walking 5 days a week for about 30 minutes a day, and lowered their intake of fat and calories. - Taking the diabetes medicine metformin. Those who took metformin also received information about physical activity and diet. - Receiving education about diabetes. The third group only received information about physical activity and diet and took a placeboa pill without medicine in it.

People in the lifestyle change group showed the best outcomes. But people who took metformin also benefited. The results showed that by losing an average of 15 pounds in the first year of the study, people in the lifestyle change group reduced their risk of developing type 2 diabetes by 58 percent over 3 years. Lifestyle change was even more effective in those age 60 and older. People in this group reduced their risk by 71 percent. But people in the metformin group also benefited, reducing their risk by 31 percent. More information about the DPP, funded under National Institutes of Health (NIH) clinical trial number NCT00004992, is available at www.bsc.gwu.edu/dpp.

Lasting Results

The Diabetes Prevention Program Outcomes Study (DPPOS) has shown that the benefits of weight loss and metformin last for at least 10 years. The DPPOS has continued to follow most DPP participants since the DPP ended in 2001. The DPPOS showed that 10 years after enrolling in the DPP,

- people in the lifestyle change group reduced their risk for developing diabetes by 34 percent - those in the lifestyle change group age 60 or older had even greater benefit, reducing their risk of developing diabetes by 49 percent - participants in the lifestyle change group also had fewer heart and blood vessel disease risk factors, including lower blood pressure and triglyceride levels, even though they took fewer medicines to control their heart disease risk - the metformin group reduced the risk of developing diabetes by 18 percent

Even though controlling your weight with lifestyle changes is challenging, it produces long-term health rewards by lowering your risk for type 2 diabetes, lowering your blood glucose levels, and reducing other heart disease risk factors. More information about the DPPOS, funded under NIH clinical trial number NCT00038727, can be found at www.bsc.gwu.edu/dpp.



Other Types of Diabetes In addition to type 2, the other main types of diabetes are type 1 diabetes and gestational diabetes. Type 1 Diabetes Type 1 diabetes, formerly called juvenile diabetes, is usually first diagnosed in children, teenagers, and young adults. In this type of diabetes, your pancreas can no longer make insulin because your bodys immune system has attacked and destroyed the cells that make it. Treatment for type 1 diabetes includes taking insulin shots or using an insulin pump, making wise food choices, being physically active on a regular basis, controlling blood pressure and cholesterol, and, for some, taking aspirin daily. Gestational Diabetes Gestational diabetes is a type of diabetes that develops only during pregnancy. Hormones produced by your placenta and other pregnancy-related factors contribute to insulin resistance, which occurs in all women during late pregnancy. Insulin resistance increases the amount of insulin needed to control blood glucose levels. If your pancreas cant produce enough insulin, gestational diabetes occurs. As with type 2 diabetes, excess weight is linked to gestational diabetes. Overweight or obese women are at particularly high risk for gestational diabetes because they start pregnancy with a higher need for insulin due to insulin resistance. Excessive weight gain during pregnancy may also increase risk. Gestational diabetes occurs more often in some ethnic groups and among women with a family history of diabetes. Although gestational diabetes usually goes away after the baby is born, a woman who has had gestational diabetes is more likely to develop type 2 diabetes later in life. Babies born to mothers who had gestational diabetes are also more likely to develop obesity and type 2 diabetes as they grow up.",Am I at Risk for Type 2 Diabetes? Taking Steps to Lower Your Risk of Getting Diabetes
What is (are) Am I at Risk for Type 2 Diabetes? Taking Steps to Lower Your Risk of Getting Diabetes ?,"In addition to type 2, the other main types of diabetes are type 1 diabetes and gestational diabetes.

Type 1 Diabetes

Type 1 diabetes, formerly called juvenile diabetes, is usually first diagnosed in children, teenagers, and young adults. In this type of diabetes, your pancreas can no longer make insulin because your bodys immune system has attacked and destroyed the cells that make it. Treatment for type 1 diabetes includes taking insulin shots or using an insulin pump, making wise food choices, being physically active on a regular basis, controlling blood pressure and cholesterol, and, for some, taking aspirin daily.

Gestational Diabetes

Gestational diabetes is a type of diabetes that develops only during pregnancy. Hormones produced by your placenta and other pregnancy-related factors contribute to insulin resistance, which occurs in all women during late pregnancy. Insulin resistance increases the amount of insulin needed to control blood glucose levels. If your pancreas cant produce enough insulin, gestational diabetes occurs.

As with type 2 diabetes, excess weight is linked to gestational diabetes. Overweight or obese women are at particularly high risk for gestational diabetes because they start pregnancy with a higher need for insulin due to insulin resistance. Excessive weight gain during pregnancy may also increase risk. Gestational diabetes occurs more often in some ethnic groups and among women with a family history of diabetes.

Although gestational diabetes usually goes away after the baby is born, a woman who has had gestational diabetes is more likely to develop type 2 diabetes later in life. Babies born to mothers who had gestational diabetes are also more likely to develop obesity and type 2 diabetes as they grow up.",Am I at Risk for Type 2 Diabetes? Taking Steps to Lower Your Risk of Getting Diabetes
What are the symptoms of Am I at Risk for Type 2 Diabetes? Taking Steps to Lower Your Risk of Getting Diabetes ?,"The signs and symptoms of type 2 diabetes can be so mild that you might not even notice them. Nearly 7 million people in the United States have type 2 diabetes and dont know they have the disease. Many have no signs or symptoms. Some people have symptoms but do not suspect diabetes.

Symptoms include

- increased thirst - increased hunger - fatigue - increased urination, especially at night - unexplained weight loss - blurred vision - numbness or tingling in the feet or hands - sores that do not heal

Many people do not find out they have the disease until they have diabetes problems, such as blurred vision or heart trouble. If you find out early that you have diabetes, you can get treatment to prevent damage to your body.",Am I at Risk for Type 2 Diabetes? Taking Steps to Lower Your Risk of Getting Diabetes
Who is at risk for Am I at Risk for Type 2 Diabetes? Taking Steps to Lower Your Risk of Getting Diabetes? ?,"To find out your risk for type 2 diabetes, check each item that applies to you.

- I am age 45 or older. - I am overweight or obese. - I have a parent, brother, or sister with diabetes. - My family background is African American, Alaska Native, American Indian, Asian American, Hispanic/Latino, or Pacific Islander American. - I have had gestational diabetes. - I gave birth to at least one baby weighing more than 9 pounds. - My blood pressure is 140/90 or higher, or I have been told that I have high blood pressure. - My cholesterol levels are higher than normal. My HDL, or good, cholesterol is below 35, or my triglyceride level is above 250. - I am fairly inactive. - I have polycystic ovary syndrome, also called PCOS. - On previous testing, I had prediabetesan A1C level of 5.7 to 6.4 percent, impaired fasting glucose (IFG), or impaired glucose tolerance (IGT). - I have other clinical conditions associated with insulin resistance, such as a condition called acanthosis nigricans, characterized by a dark, velvety rash around my neck or armpits. - I have a history of cardiovascular disease.

The more items you checked, the higher your risk.



Does sleep matter? Yes. Studies show that untreated sleep problems, especially sleep apnea, can increase the risk of type 2 diabetes. Sleep apnea is a common disorder in which you have pauses in breathing or shallow breaths while you sleep. Most people who have sleep apnea dont know they have it and it often goes undiagnosed. Night shift workers who have problems with sleepiness may also be at increased risk for obesity and type 2 diabetes. If you think you might have sleep problems, ask your doctor for help. More information about sleep problems is available from the National Heart Lung and Blood Institute at http://www.nhlbi.nih.gov/health/resources/sleep.",Am I at Risk for Type 2 Diabetes? Taking Steps to Lower Your Risk of Getting Diabetes
Who is at risk for Am I at Risk for Type 2 Diabetes? Taking Steps to Lower Your Risk of Getting Diabetes? ?,"You can do a lot to reduce your risk of getting type 2 diabetes. Being more physically active, reducing fat and calorie intake, and losing a little weight can help you lower your chances of developing type 2 diabetes. Taking the diabetes medicine metformin can also reduce risk, particularly in younger and heavier people with prediabetes and women who have had gestational diabetes. Lowering blood pressure and cholesterol levels also helps you stay healthy.

If you are overweight, then take these steps:

- Reach and maintain a reasonable body weight. Even a 10 or 15 pound weight loss makes a big difference. - Make wise food choices most of the time. - Be physically active every day.

If you are fairly inactive, then take this step:

- Be physically active every day.

If your blood pressure is too high, then take these steps:

- Reach and maintain a reasonable body weight. - Make wise food choices most of the time. - Reduce your sodium and alcohol intake. - Be physically active every day. - Talk with your doctor about whether you need medicine to control your blood pressure.

If your cholesterol or triglyceride levels are too high, then take these steps:

- Make wise food choices most of the time. - Be physically active every day. - Talk with your doctor about whether you need medicine to control your cholesterol levels.",Am I at Risk for Type 2 Diabetes? Taking Steps to Lower Your Risk of Getting Diabetes
Who is at risk for Am I at Risk for Type 2 Diabetes? Taking Steps to Lower Your Risk of Getting Diabetes? ?,"Making big changes in your life is hard, especially if you are faced with more than one change. You can make it easier by taking these steps:

- Make a plan to change behavior. - Decide exactly what you will do and give yourself a time frame. - Plan what you need to get ready. - Track your goals and activity on a food and activity tracker, available at http://www.niddk.nih.gov/health-information/health-communication-programs/ndep/health-care-professionals/game-plan/small-steps/Documents/GP_FoodActTracker.pdf (PDF, 349 KB) - Think about what might prevent you from reaching your goals. - Find family and friends who will support and encourage you. - Decide how you will reward yourselfa shopping trip, movie tickets, an afternoon in the parkwhen you do what you have planned.

Your doctor, a dietitian, or a counselor can help you make a plan.



Be Physically Active Every Day

Regular physical activity tackles several risk factors at once. Activity helps you lose weight; keeps your blood glucose, blood pressure, and cholesterol under control; and helps your body use insulin. People in the DPP who were physically active for 30 minutes a day, 5 days a week, reduced their risk of type 2 diabetes. Many chose brisk walking as their physical activity.

If you are not fairly active, you should start slowly. First, talk with your doctor about what kinds of physical activity are safe for you. Make a plan to increase your activity level toward the goal of being active at least 30 minutes a day most days of the week. You can increase your level of physical activity in two main ways:

1. Start an exercise program. 2. Increase your daily activity.

Start an exercise program. Pick exercises that suit you. Find a friend to walk with you or join an exercise class that will help you keep going.

- Do aerobic activities, which use your large muscles to make your heart beat faster. The large muscles are those of the upper and lower arms; upper and lower legs; and those that control head, shoulder, and hip movements. - Do activities to strengthen muscles and bone, such as lifting weights or sit-ups, two to three times a week. Find helpsuch as a video or a classto learn how to do these exercises properly.

Increase your daily activity. Choose activities you enjoy. You can work extra activity into your daily routine by doing the following:

- Increase daily activity by decreasing time spent watching TV or at the computer. Set up a reminder on your computer to take an activity break. - Take the stairs rather than an elevator or escalator. - Park at the far end of the parking lot and walk. - Get off the bus a few stops early and walk the rest of the way. - Walk or bicycle whenever you can.



Take Your Prescribed Medicines

Some people need medicine to help control their blood pressure or cholesterol levels. If you do, take your medicines as directed. Ask your doctor if you should take metformin to prevent type 2 diabetes. Metformin is a medicine that makes insulin work better and can reduce the risk of type 2 diabetes.",Am I at Risk for Type 2 Diabetes? Taking Steps to Lower Your Risk of Getting Diabetes
What to do for Am I at Risk for Type 2 Diabetes? Taking Steps to Lower Your Risk of Getting Diabetes ?,"Your eating, diet, and nutrition choices play an important role in preventing or delaying diabetes. Follow the suggestions below to reach and maintain a reasonable weight and make wise food choices most of the time. Remember that it can take time to change your habits and be patient with yourself. You can also get help from a dietitian or join a weight-loss program to support you while you reach your goals.



Reach and Maintain a Reasonable Body Weight

Your weight affects your health in many ways. Being overweight can keep your body from making and using insulin properly. Excess body weight can also cause high blood pressure. Every pound you lose lowers your risk of getting diabetes.

In addition to weight, the location of excess fat on the body can be important. A waist measurement of 40 inches or more for men and 35 inches or more for women is linked to insulin resistance and increases a persons risk for type 2 diabetes. This is true even if your BMI falls within the normal range.



Find Your BMI

The BMI is a measure of body weight relative to height. The BMI can help you find out whether you are normal weight, overweight, or obese. Use the table on pages 24 and 25 to find your BMI.

- Find your height in the left-hand column. - Move across in the same row to the number closest to your weight. - The number at the top of that column is your BMI. Check the word above your BMI to see whether you are normal weight, overweight, or obese.

The BMI has certain limitations. The BMI may overestimate body fat in athletes and others who have a muscular build and underestimate body fat in older adults and others who have lost muscle.

The BMI for children and teens must be determined based on age, height, weight, and sex. The Centers for Disease Control and Prevention (CDC) has information about BMI in children and teens, including a BMI calculator, at www.cdc.gov/nccdphp/dnpa/bmi. The CDC website also has a BMI calculator for adults. A BMI calculator from the NIH is available at www.nhlbi.nih.gov/health/educational/lose_wt/BMI/bmicalc.htm.

The NIH also has a free smartphone app for calculating BMI. You can search My BMI Calculator on your phone to find the app. The app also provides links to information about steps you can take to bring your BMI into a healthy range.",Am I at Risk for Type 2 Diabetes? Taking Steps to Lower Your Risk of Getting Diabetes
What is (are) I Can Lower My Risk for Type 2 Diabetes: A Guide for American Indians ?,"Diabetes causes blood glucose levels to be above normal. People with diabetes have problems converting food to energy. After food is eaten, it is broken down into a sugar called glucose. Glucose is then carried by the blood to cells throughout the body. The hormone insulin, made in the pancreas, helps the body change blood glucose into energy. People with diabetes, however, either no longer make enough insulin, or their insulin doesn't work properly, or both.

Type 2 diabetes

Type 2 diabetes is the most common type in American Indians. This type of diabetes can occur at any age, even during childhood. People develop type 2 diabetes because the cells in the muscles, liver, and fat do not use insulin properly. Eventually, the body cannot make enough insulin. As a result, the amount of glucose in the blood increases while the cells are starved of energy. Over time, high blood glucose damages nerves and blood vessels, leading to problems such as heart disease, stroke, blindness, kidney failure, and amputation.

Other kinds of diabetes

Type 1 diabetes

Type 1 diabetes is rare in American Indians. People develop type 1 diabetes when their bodies no longer make any insulin. Type 1 is usually first diagnosed in children or young adults but can develop at any age.

Gestational diabetes

Gestational diabetes is first diagnosed during pregnancy. It occurs when the body doesn't use insulin properly. Having an American Indian family background raises the risk of developing gestational diabetes. Although this form of diabetes usually goes away after the baby is born, a woman who has had it is more likely to develop type 2 diabetes later in life.",I Can Lower My Risk for Type 2 Diabetes: A Guide for American Indians
What are the symptoms of I Can Lower My Risk for Type 2 Diabetes: A Guide for American Indians ?,"Many people have no visible signs or symptoms of diabetes. Symptoms can also be so mild that you might not notice them. More than 5 million people in the United States have type 2 diabetes and do not know it.

- increased thirst - increased hunger - fatigue - increased urination, especially at night - unexplained weight loss - blurred vision - sores that do not heal",I Can Lower My Risk for Type 2 Diabetes: A Guide for American Indians
Who is at risk for I Can Lower My Risk for Type 2 Diabetes: A Guide for American Indians? ?,"- My mother had diabetes when I was born. - I am overweight. - I have a parent, brother, or sister with diabetes. - My family background is American Indian. - I have had gestational diabetes, or I gave birth to at least one baby weighing more than 9 pounds. - My blood pressure is 140/90 mmHg or higher, or I have been told that I have high blood pressure. - My cholesterol levels are higher than normal. My HDL cholesterol""good"" cholesterolis below 35 mg/dL, or my triglyceride level is above 250 mg/dL. - I am fairly inactive. I exercise fewer than three times a week.",I Can Lower My Risk for Type 2 Diabetes: A Guide for American Indians
